-72.940 -13.595 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
70  4 12 31 6 46 13 51 0 62 3 66 9 69 9 80 10 87 19 103 4 131 18 133 6 142 10 145 7 150 6 158 7 165 8 170 13 174 9 212 8 219 17 243 7 251 5 254 2 290 9 296 18 298 17 307 6 317 12 322 15 326 19 329 8 330 19 333 10 346 16 349 16 358 15 375 5 392 17 414 3 415 6 447 7 487 10 499 14 526 10 528 17 531 0 555 18 567 18 589 4 617 8 627 10 628 18 646 6 664 18 673 12 675 10 676 4 677 4 683 8 696 1 704 16 707 1 713 15 719 14 759 7 763 8 770 18 784 5 786 15 
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-75.832 -13.850 
76 0.000 -0.08307 
649 0.000 -0.23587 
248 0.000 -0.01661 
629 0.000 -0.14920 
229 10.000 0.44940 
700 0.000 -0.08701 
316 10.000 0.35311 
328 0.000 -0.05345 
231 0.000 -0.42665 
74 0.000 -0.04081 
633 1.450 0.11395 
223 0.000 -0.37032 
651 0.000 -0.11380 
510 10.000 0.48265 
971 10.000 1.15555 
280 0.000 -0.22408 
546 0.000 -0.09518 
719 0.321 0.05989 
113 1.362 -0.14974 
471 2.747 -0.10828 
592 0.000 -0.22542 
944 10.000 0.46752 
450 0.000 -0.40037 
336 0.000 -0.31747 
847 10.000 1.39028 
434 0.000 -0.07393 
3 0.000 -0.25883 
344 0.154 0.06188 
598 0.000 -0.13495 
833 10.000 1.63928 
233 0.000 -0.02919 
675 0.047 -0.05553 
482 0.000 -0.33860 
481 0.000 -0.45284 
304 0.000 -0.03849 
712 10.000 0.03373 
182 4.064 -0.14684 
621 0.156 -0.01087 
40 0.000 -0.11261 
413 10.000 0.26530 
695 0.013 0.00322 
673 1.358 0.09854 
637 10.000 0.37353 
347 10.000 0.37412 
184 10.000 0.31927 
609 10.000 0.36673 
627 10.000 0.33583 
730 9.827 0.12305 
740 7.915 0.20895 
202 0.243 0.02249 
920 10.000 1.32727 
684 0.000 -0.25535 
653 10.000 0.40722 
257 10.000 0.29435 
532 0.000 -0.36338 
87 10.000 0.31828 
260 10.000 0.51861 
877 10.000 0.92533 
686 10.000 0.55171 
93 10.000 0.43126 
111 10.000 0.13099 
361 10.000 0.07944 
576 10.000 0.26280 
593 10.000 0.54578 
666 10.000 0.10365 
288 8.733 -0.35695 
775 0.000 -0.13082 
329 10.000 0.38550 
189 9.990 -0.02027 
984 10.000 1.42745 
827 10.000 1.58501 
331 10.000 0.34290 
188 10.000 0.33129 
436 0.000 -0.08489 
958 10.000 1.02912 
918 10.000 1.06565 
764 0.143 -0.16589 
699 0.000 -0.23935 
121 0.000 -0.04985 
685 0.321 0.06018 
383 10.000 0.21635 
774 4.798 -0.01626 
943 10.000 1.02579 
916 10.000 0.98229 
861 10.000 1.07500 
203 0.023 -0.12323 
793 0.000 -0.23800 
548 10.000 0.23076 
297 0.000 -0.27641 
904 10.000 1.02188 
909 10.000 0.99875 
873 10.000 1.72854 
498 0.000 -0.27674 
162 10.000 0.34949 
273 0.000 -0.24515 
864 10.000 1.65989 
492 0.000 -0.33496 
463 0.950 0.06894 
848 10.000 0.94122 
495 0.059 0.04852 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
98  9 5 13 1 16 18 20 15 37 14 40 13 47 2 49 17 50 9 54 10 82 4 95 10 105 0 106 19 121 17 123 7 125 15 166 17 170 11 176 14 177 13 191 14 194 17 203 11 207 4 216 9 223 1 227 12 233 2 237 12 240 14 241 5 247 8 248 1 261 4 267 16 269 2 272 19 282 14 287 13 293 3 307 15 308 1 331 12 340 4 349 0 357 18 362 19 395 0 403 19 410 13 445 7 446 13 457 17 458 17 459 18 464 14 477 8 480 11 481 9 486 18 496 9 500 16 501 8 513 8 532 9 533 6 540 19 542 14 550 8 551 10 562 12 566 16 572 11 573 18 576 12 588 9 590 13 603 7 649 14 673 4 676 19 680 2 695 1 724 7 734 15 737 11 746 2 749 17 755 0 768 4 771 14 773 0 782 12 787 8 789 18 793 13 798 14 
 0.0002 0.0005 0.0005 0.0005 0.0005 0.0004 0.0004 0.0004 0.0004 0.0004 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 
-72.715 -14.131 
291 0.000 -0.80023 
180 0.000 -0.13301 
684 0.147 0.03273 
727 0.000 -0.10909 
139 0.000 -0.19510 
603 0.302 0.08739 
492 0.000 -0.33245 
838 10.000 1.19881 
724 0.000 -0.09487 
178 0.000 -0.38804 
221 0.000 -0.11005 
498 0.000 -0.18009 
121 0.297 0.02753 
138 0.029 0.01891 
360 0.000 -0.21656 
324 0.000 -0.19471 
931 10.000 1.75394 
908 10.000 0.87782 
622 0.000 -0.17188 
836 10.000 0.85642 
818 10.000 1.82927 
496 0.000 -0.06720 
334 0.000 -0.26222 
394 0.000 -0.24884 
658 0.455 0.03473 
608 0.000 -0.35924 
258 0.000 -0.23121 
151 9.963 -0.01284 
72 4.122 0.08962 
107 10.000 0.28392 
647 0.000 -0.10529 
363 0.000 -0.17914 
288 0.000 -0.27452 
331 0.000 -0.02671 
91 0.000 -0.13832 
427 0.000 -0.09855 
934 10.000 1.14851 
583 10.000 0.18630 
265 0.000 -0.02581 
761 0.000 -0.40389 
487 10.000 0.18323 
157 10.000 0.35274 
883 10.000 0.31711 
625 8.681 0.13239 
517 0.000 -0.20820 
207 10.000 0.15526 
557 10.000 0.12958 
426 10.000 0.20105 
829 10.000 1.05112 
244 10.000 0.57816 
326 10.000 0.43340 
729 10.000 0.47796 
638 9.730 -0.04967 
984 10.000 1.21121 
338 10.000 0.12476 
897 10.000 1.34768 
136 10.000 0.27187 
410 9.848 -0.07190 
5 0.072 -0.01039 
783 10.000 0.13681 
774 9.753 0.01034 
293 0.000 -0.16124 
114 10.000 0.39901 
865 10.000 1.29920 
721 10.000 0.02722 
49 10.000 0.14632 
449 10.000 0.45120 
986 10.000 1.39060 
707 10.000 0.01402 
210 0.000 -0.08940 
473 10.000 0.25520 
93 10.000 0.16348 
99 10.000 0.34337 
382 9.811 -0.03327 
301 10.000 0.25478 
657 10.000 0.20078 
809 10.000 1.14680 
131 10.000 0.27217 
51 0.000 -0.06440 
53 9.734 0.10063 
457 0.000 -0.23393 
780 0.000 -0.21785 
692 0.000 -0.22752 
442 4.708 -0.15140 
119 0.000 -0.09450 
589 0.000 -0.29337 
578 0.000 -0.37446 
529 0.000 -0.37614 
595 0.000 -0.15170 
361 0.000 -0.23365 
304 0.000 -0.19495 
888 10.000 0.73548 
476 0.000 -0.22271 
169 0.000 -0.11353 
609 0.000 -0.21105 
525 0.000 -0.25603 
618 0.000 -0.22395 
596 0.000 -0.15501 
233 0.000 -0.19293 
70 0.000 -0.28349 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
91  2 5 15 9 17 15 26 16 29 14 37 3 38 9 39 5 46 1 55 2 61 1 74 16 75 4 84 4 85 12 87 8 103 8 107 15 129 14 131 9 134 11 144 16 150 18 156 19 160 0 168 14 172 3 175 1 182 9 202 13 233 9 260 7 271 14 277 16 291 11 307 1 319 4 321 9 323 6 325 0 351 7 353 18 356 7 373 12 374 8 385 11 405 19 407 17 419 18 420 9 429 5 430 13 441 17 448 11 473 2 507 18 509 17 510 1 535 17 539 7 547 5 556 9 566 10 574 0 576 19 584 12 586 0 605 13 606 4 608 0 621 6 626 8 635 3 643 13 648 2 652 7 660 5 676 3 678 18 685 13 696 19 714 3 722 2 723 6 731 5 741 17 754 15 760 3 775 2 776 2 786 15 
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-79.240 -13.486 
98 0.211 0.02751 
923 10.000 1.06040 
169 10.000 0.26908 
481 9.422 0.09143 
225 10.000 0.46739 
826 10.000 1.21540 
290 10.000 0.10253 
357 0.000 -0.13867 
878 10.000 1.21147 
344 0.267 0.07484 
814 10.000 1.46507 
659 0.000 -0.34795 
36 0.499 -0.09404 
257 0.800 0.00544 
778 0.000 -0.27350 
625 0.000 -0.06956 
836 10.000 1.12387 
308 10.000 0.14126 
221 0.000 -0.27671 
198 0.000 -0.44043 
612 0.000 -0.23951 
109 0.540 0.06532 
674 0.384 0.00159 
782 1.500 -0.02057 
719 0.800 -0.12683 
200 0.035 -0.10438 
401 0.108 -0.05336 
315 0.000 -0.16552 
434 0.000 -0.05059 
230 0.000 -0.38735 
385 5.019 -0.14823 
532 0.000 -0.15701 
154 3.537 -0.17123 
555 0.067 -0.25186 
14 0.000 -0.07473 
380 0.000 -0.24369 
382 0.000 -0.08772 
305 0.000 -0.36002 
737 0.278 -0.02665 
260 0.000 -0.16120 
649 0.000 -0.17739 
552 1.247 0.01145 
919 10.000 0.47210 
685 10.000 0.10230 
809 10.000 1.05846 
