0  4.69  0.00  16.62
1  4.65  0.00  16.95
2  4.35  0.00  16.27
3  4.08  0.00  16.18
4  3.92  0.00  16.68
5  2.46  0.00  9.55
6  2.72  0.00  11.54
7  1.38  0.01  4.42
8  1.49  0.05  5.20
9  1.44  0.14  4.98
10  1.41  0.29  5.15
11  1.41  0.49  5.43
12  1.24  0.76  4.63
13  1.64  1.05  7.58
14  1.56  1.40  7.29
15  1.55  1.79  7.29
16  1.26  2.12  5.66
17  1.65  2.53  8.15
18  1.77  2.90  9.34
19  1.66  3.28  8.89
20  1.55  3.66  7.94
21  1.90  4.08  10.61
22  1.58  4.49  8.66
23  2.14  4.87  12.72
24  1.94  5.29  11.56
25  1.91  5.75  11.51
26  1.95  6.19  11.80
27  2.66  6.63  17.32
28  2.40  7.06  15.29
29  2.34  7.54  15.23
30  2.31  8.02  14.97
31  2.56  8.53  16.62
32  2.69  9.01  18.36
33  2.74  9.53  18.76
34  3.24  10.03  21.81
35  3.46  10.59  24.22
36  3.22  11.13  22.19
37  3.34  11.70  23.11
38  3.18  12.31  22.56
39  3.79  12.88  26.55
40  3.45  13.47  24.83
41  3.94  14.03  28.07
42  3.54  14.67  25.62
43  4.06  15.23  28.86
44  4.20  15.85  29.68
45  3.99  16.45  28.72
46  4.55  17.02  31.88
47  4.34  17.57  31.13
48  4.22  18.14  30.60
49  4.29  18.68  30.94
50  4.10  19.36  30.16
51  4.37  19.86  32.20
52  4.39  20.35  32.59
53  4.57  20.91  33.72
54  4.31  21.42  32.44
55  4.33  21.95  32.50
56  4.66  22.43  34.41
57  4.66  22.94  34.84
58  4.74  23.40  35.17
59  4.68  23.84  35.44
60  4.60  24.25  34.47
61  4.39  24.68  33.45
62  4.65  25.01  35.39
63  4.47  25.34  34.62
64  4.42  25.73  33.73
65  4.49  26.11  34.35
66  4.54  26.47  34.70
67  4.36  26.79  33.24
68  4.41  27.10  34.16
69  4.86  27.45  37.14
70  4.60  27.70  35.31
71  4.76  27.99  36.34
72  4.73  28.24  36.41
73  4.42  28.49  34.17
74  4.42  28.71  34.56
75  4.59  28.94  35.21
76  4.26  29.14  33.61
77  4.48  29.34  35.09
78  4.54  29.58  35.34
79  4.50  29.71  35.24
80  4.61  29.84  35.87
81  4.14  30.03  32.95
82  4.60  30.15  35.90
83  4.28  30.33  34.35
84  4.54  30.45  35.87
85  4.38  30.62  34.77
86  4.13  30.76  32.67
87  4.48  30.87  35.58
88  4.54  31.02  35.31
89  4.52  31.11  35.44
90  4.32  31.24  34.50
91  4.49  31.37  35.43
92  4.51  31.45  35.56
93  4.13  31.58  33.32
94  4.23  31.69  34.10
95  4.46  31.72  35.42
